Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
mal_remove_100pct_notrust,10,0.4586,0.0280,0.9907,0.0005,0.9940,0.0006,4.10,2.60,41
mal_add_10pct_trust,10,0.4679,0.0440,0.9908,0.0005,0.9941,0.0007,4.40,4.01,44
mal_add_10pct_notrust,10,0.4606,0.0375,0.9906,0.0004,0.9940,0.0007,4.90,2.56,49
mal_add_20pct_trust,10,0.4620,0.0377,0.9910,0.0005,0.9940,0.0005,5.20,3.58,52
mal_add_20pct_notrust,10,0.4457,0.0514,0.9905,0.0006,0.9943,0.0008,6.40,4.06,64
mal_add_30pct_trust,10,0.4620,0.0332,0.9907,0.0007,0.9939,0.0008,5.20,4.66,52
mal_add_30pct_notrust,10,0.4476,0.0307,0.9910,0.0005,0.9942,0.0005,4.30,4.45,43
mal_add_40pct_trust,10,0.4579,0.0217,0.9906,0.0007,0.9940,0.0005,4.10,2.73,41
mal_add_40pct_notrust,10,0.4517,0.0367,0.9910,0.0008,0.9942,0.0006,5.00,3.86,50
mal_add_50pct_trust,10,0.4468,0.0462,0.9908,0.0007,0.9944,0.0005,6.20,3.97,62
mal_add_50pct_notrust,10,0.4617,0.0314,0.9904,0.0006,0.9942,0.0006,3.80,2.39,38
mal_add_60pct_trust,10,0.4577,0.0447,0.9907,0.0005,0.9943,0.0004,5.10,3.60,51
mal_add_60pct_notrust,10,0.4582,0.0213,0.9906,0.0005,0.9940,0.0005,4.30,3.86,43
mal_add_70pct_trust,10,0.4636,0.0298,0.9905,0.0004,0.9940,0.0007,4.90,3.45,49
mal_add_70pct_notrust,10,0.4480,0.0304,0.9908,0.0006,0.9943,0.0005,4.70,2.63,47
mal_add_80pct_trust,10,0.4611,0.0448,0.9907,0.0004,0.9937,0.0008,3.30,3.83,33
mal_add_80pct_notrust,10,0.4500,0.0520,0.9907,0.0008,0.9945,0.0008,3.00,2.45,30
mal_add_90pct_trust,10,0.4330,0.0333,0.9906,0.0007,0.9944,0.0005,7.70,2.95,77
mal_add_90pct_notrust,10,0.4613,0.0334,0.9908,0.0006,0.9941,0.0008,4.10,1.73,41
mal_add_100pct_trust,10,0.4346,0.0331,0.9907,0.0006,0.9944,0.0005,7.20,4.61,72
mal_add_100pct_notrust,10,0.4535,0.0451,0.9908,0.0005,0.9942,0.0005,4.30,3.20,43
mal_convoy_10pct_trust,10,0.4621,0.0361,0.9906,0.0006,0.9943,0.0006,6.00,3.02,60
mal_convoy_10pct_notrust,10,0.4515,0.0326,0.9906,0.0007,0.9943,0.0004,3.70,2.58,37
mal_convoy_20pct_trust,10,0.4672,0.0385,0.9907,0.0004,0.9939,0.0008,8.00,7.79,80
mal_convoy_20pct_notrust,10,0.4595,0.0269,0.9908,0.0005,0.9942,0.0006,4.30,2.63,43
mal_convoy_30pct_trust,10,0.4693,0.0434,0.9909,0.0006,0.9939,0.0007,6.60,5.04,66
mal_convoy_30pct_notrust,10,0.4552,0.0360,0.9908,0.0004,0.9943,0.0006,5.30,3.20,53
mal_convoy_40pct_trust,10,0.4526,0.0452,0.9904,0.0006,0.9941,0.0008,5.30,3.95,53
mal_convoy_40pct_notrust,10,0.4476,0.0398,0.9904,0.0007,0.9939,0.0008,4.50,3.84,45
mal_convoy_50pct_trust,10,0.4506,0.0410,0.9909,0.0006,0.9939,0.0007,6.10,3.84,61
mal_convoy_50pct_notrust,10,0.4660,0.0381,0.9907,0.0006,0.9943,0.0005,3.50,2.17,35
mal_convoy_60pct_trust,10,0.4737,0.0483,0.9908,0.0006,0.9939,0.0010,4.90,5.11,49
mal_convoy_60pct_notrust,10,0.4403,0.0287,0.9909,0.0004,0.9942,0.0006,3.60,2.63,36
mal_convoy_70pct_trust,10,0.4384,0.0433,0.9907,0.0006,0.9943,0.0005,6.90,5.22,69
mal_convoy_70pct_notrust,10,0.4592,0.0334,0.9910,0.0004,0.9941,0.0008,3.50,1.96,35
mal_convoy_80pct_trust,10,0.4663,0.0429,0.9910,0.0006,0.9938,0.0008,3.00,2.16,30
mal_convoy_80pct_notrust,10,0.4518,0.0361,0.9909,0.0007,0.9944,0.0007,3.10,2.77,31
mal_convoy_90pct_trust,10,0.4500,0.0398,0.9907,0.0006,0.9937,0.0007,10.20,6.60,102
mal_convoy_90pct_notrust,10,0.4651,0.0366,0.9906,0.0007,0.9940,0.0007,4.20,3.68,42
mal_convoy_100pct_trust,10,0.4471,0.0450,0.9907,0.0006,0.9941,0.0005,6.40,6.59,64
mal_convoy_100pct_notrust,10,0.4503,0.0216,0.9907,0.0005,0.9940,0.0006,5.90,2.73,59
high_miss_10pct_trust,10,0.4288,0.0207,0.9908,0.0005,0.9943,0.0005,5.10,3.14,51
high_miss_10pct_notrust,10,0.4500,0.0403,0.9909,0.0006,0.9940,0.0008,4.40,2.95,44
high_miss_20pct_trust,10,0.4305,0.0333,0.9911,0.0007,0.9943,0.0006,5.00,4.83,50
high_miss_20pct_notrust,10,0.4654,0.0271,0.9904,0.0010,0.9941,0.0006,5.10,3.00,51
high_miss_30pct_trust,10,0.4430,0.0333,0.9908,0.0005,0.9943,0.0006,7.20,4.69,72
high_miss_30pct_notrust,10,0.4551,0.0319,0.9910,0.0006,0.9941,0.0006,4.50,3.14,45
high_miss_40pct_trust,10,0.4581,0.0468,0.9907,0.0004,0.9942,0.0006,6.00,5.06,60
high_miss_40pct_notrust,10,0.4555,0.0175,0.9907,0.0004,0.9942,0.0004,5.70,3.06,57
high_miss_50pct_trust,10,0.4288,0.0308,0.9907,0.0005,0.9945,0.0006,5.90,5.02,59
high_miss_50pct_notrust,10,0.4430,0.0185,0.9907,0.0005,0.9943,0.0003,3.50,2.42,35
high_miss_60pct_trust,10,0.4312,0.0432,0.9903,0.0006,0.9943,0.0007,7.50,5.38,75
high_miss_60pct_notrust,10,0.4591,0.0278,0.9905,0.0006,0.9941,0.0005,4.20,3.52,42
high_miss_70pct_trust,10,0.4510,0.0221,0.9910,0.0006,0.9941,0.0003,6.20,4.39,62
high_miss_70pct_notrust,10,0.4590,0.0371,0.9908,0.0006,0.9942,0.0007,3.00,1.76,30
high_miss_80pct_trust,10,0.4539,0.0405,0.9907,0.0006,0.9941,0.0006,4.50,3.37,45
high_miss_80pct_notrust,10,0.4591,0.0501,0.9904,0.0006,0.9942,0.0008,4.70,2.91,47
high_miss_90pct_trust,10,0.4596,0.0374,0.9908,0.0004,0.9936,0.0005,6.60,5.80,66
high_miss_90pct_notrust,10,0.4549,0.0346,0.9906,0.0005,0.9941,0.0004,4.00,2.49,40
high_miss_100pct_trust,10,0.4538,0.0208,0.9906,0.0005,0.9942,0.0005,7.10,5.92,71
high_miss_100pct_notrust,10,0.4611,0.0460,0.9907,0.0005,0.9940,0.0007,2.90,3.18,29
lag_1steps_trust,10,0.4394,0.0415,0.9905,0.0007,0.9943,0.0005,7.20,5.96,72
lag_1steps_notrust,10,0.4662,0.0230,0.9907,0.0006,0.9939,0.0008,4.70,3.09,47
lag_2steps_trust,10,0.4786,0.0328,0.9907,0.0006,0.9941,0.0004,5.80,4.89,58
lag_2steps_notrust,10,0.4478,0.0501,0.9910,0.0005,0.9940,0.0007,4.70,2.11,47
lag_3steps_trust,10,0.4367,0.0359,0.9906,0.0005,0.9941,0.0007,4.40,3.31,44
lag_3steps_notrust,10,0.4670,0.0305,0.9908,0.0006,0.9941,0.0008,4.10,2.73,41
lag_4steps_trust,10,0.4597,0.0361,0.9904,0.0007,0.9943,0.0003,5.30,2.75,53
lag_4steps_notrust,10,0.4660,0.0375,0.9906,0.0008,0.9940,0.0008,2.80,1.48,28
lag_5steps_trust,10,0.4394,0.0234,0.9905,0.0005,0.9943,0.0005,4.90,2.64,49
lag_5steps_notrust,10,0.4720,0.0356,0.9911,0.0004,0.9938,0.0007,4.60,3.31,46
lag_6steps_trust,10,0.4536,0.0224,0.9909,0.0006,0.9940,0.0005,8.80,7.07,88
lag_6steps_notrust,10,0.4686,0.0321,0.9911,0.0004,0.9941,0.0008,4.10,2.18,41
lag_7steps_trust,10,0.4533,0.0400,0.9910,0.0004,0.9942,0.0005,5.70,4.90,57
lag_7steps_notrust,10,0.4790,0.0345,0.9904,0.0004,0.9939,0.0004,2.00,1.49,20
lag_8steps_trust,10,0.4549,0.0432,0.9907,0.0007,0.9940,0.0008,5.50,4.58,55
lag_8steps_notrust,10,0.4610,0.0384,0.9909,0.0004,0.9943,0.0006,2.50,1.65,25
lag_9steps_trust,10,0.4348,0.0464,0.9905,0.0005,0.9943,0.0006,5.20,4.47,52
lag_9steps_notrust,10,0.4597,0.0255,0.9906,0.0004,0.9943,0.0005,4.80,2.39,48
lag_10steps_trust,10,0.4500,0.0330,0.9907,0.0005,0.9941,0.0007,5.30,4.35,53
lag_10steps_notrust,10,0.4687,0.0366,0.9910,0.0005,0.9940,0.0006,3.50,2.22,35
