range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std
0.0,5.0,130.0,140.0,52,0,0.0,measured,0,0.0,0.6013369755103037,0.1068751443965501,,,0.17969570710108831,0.08758898423268245,0.0750136925623967,0.13411126906891663,0.15072827708812964,0.07107505904143462,0.3968725066918593,0.20818125284635103,0.12260086719806378,0.1365794407717107,0.07730233129251204,0.06544092519296621,0.09989632057531816,0.11793155008107736,0.2118731488178652,0.4515053394929281,0.37893188798566674,0.09091751592184136
0.0,5.0,140.0,150.0,5,0,0.0,measured,0,0.0,0.7580238103866577,0.03762095045932652,,,0.0838162899017334,0.0794713020324707,0.0690984845161438,0.09398051804445404,0.07427536289899654,0.04876734092831612,0.22378344535827638,0.2302532196044922,0.1875927209854126,0.0437418090282626,0.11222848531980947,0.03641619642250543,0.10993551251455444,0.037609212386753695,0.01628367685632237,0.1270126382790803,0.20950954938081098,0.08876389275379572
0.0,5.0,150.0,160.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,160.0,170.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,170.0,180.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
5.0,10.0,-180.0,-170.0,325,43,0.13230769230769232,measured,89,0.011333248440086591,0.6752976736067035,0.08153969268476044,0.6782944600903587,0.055490143196056226,0.08987389726841703,0.03973151654903347,0.06655946796667492,0.08715891324177293,0.04569995639833891,0.03163543256934309,0.08585871703235816,0.13707556200365648,0.07028991237599799,0.0709483025187671,0.029804814081708965,0.0823071194911237,0.07091720786382291,0.029385146702750855,0.02254866392225709,0.09744788302819862,0.08392025348234723,0.08367440260066888
5.0,10.0,-170.0,-160.0,57,50,0.8771929824561403,measured,62,0.007895071947026613,0.7304521543639046,0.04758605090371562,0.4240807016049662,0.09738493038625788,0.1716571535382952,0.05189878599984305,0.051069753510611396,0.16279332480144595,0.077202229034266,0.043518379846188636,0.1977541787283761,0.08102905750274658,0.11369385038103376,0.14839475835496188,0.01821403676450562,0.02968828703467851,0.14325866936762358,0.03908350898861582,0.02410569337166252,0.18883726698148892,0.030656472781356865,0.04397440607746059
5.0,10.0,-160.0,-150.0,272,0,0.0,measured,1,0.00012733987011333248,0.74312290560235,0.1026614752049763,0.2250606268644333,,0.18244676204288707,0.08737006345215965,0.07104339341030401,0.18647154225821067,0.06840441577700548,0.03337179815812038,0.2598191236748415,0.07566878856981502,0.08227079536984949,0.1829561581306211,0.06475511153021964,0.05221072258825512,0.1908533964507843,0.052064480483597984,0.030090567691592855,0.20401888563433657,0.07494143477375317,0.06395595541073675
5.0,10.0,-150.0,-140.0,124,1,0.008064516129032258,measured,1,0.00012733987011333248,0.7121405664498244,0.11729465509432016,0.24361851811408997,,0.14634944946785283,0.08433715696257305,0.068805197874705,0.13362024303618147,0.09613648727077521,0.041373359262791835,0.22884046740648223,0.12130092411506467,0.11226783826099179,0.17682031059638884,0.06410925733361639,0.058733820832595846,0.1717137204016404,0.08558119659925119,0.03798011630451338,0.22783239699437732,0.09803687389423997,0.09525795122596115
5.0,10.0,-140.0,-130.0,144,7,0.04861111111111111,measured,4,0.0005093594804533299,0.7056138310989324,0.1003939790633125,0.5377746149897575,0.2132410426110715,0.16580355254402995,0.09331481474159407,0.08225484573057969,0.14979138648571175,0.12313964914490397,0.034053778461092254,0.3630947666446658,0.16226237968806803,0.11574164968337455,0.131672686701155,0.07256409803633833,0.05907719344332337,0.11240377949559141,0.09255417403700032,0.027338203407964265,0.29278191063047165,0.13797518988605997,0.10131547263176957
5.0,10.0,-130.0,-120.0,93,2,0.021505376344086023,measured,5,0.0006366993505666624,0.659753082545249,0.10932542459722007,0.3135586202144623,0.10938923053727427,0.1956999039911962,0.09758130796663053,0.08320127673201509,0.15719327711375505,0.15553958912786017,0.03607243369717233,0.3934827977484399,0.16868438563504062,0.14069776351635271,0.20301471360051843,0.07048169950414525,0.0630925763723855,0.1368645297973095,0.162385400567511,0.03246332868460538,0.342181279559271,0.1315977148211754,0.11727125439280335
5.0,10.0,-120.0,-110.0,80,5,0.0625,measured,6,0.0007640392206799949,0.6408631614844005,0.13124069106667036,0.3296411732832591,0.13963659873680465,0.14836188316345214,0.07700507481892904,0.09454068660736084,0.0976407114269191,0.13536654354162567,0.04690926118132969,0.3785364659627279,0.16417625268300373,0.12199598948160807,0.14523922985721213,0.06218700913647226,0.07853944763068346,0.09166834524561635,0.1290030726769685,0.041461800962960184,0.3000175568392345,0.13687541587423604,0.11836986258836715
