# DAIR-V2X-Seq SPD PointPillars (vehicle-side, train-calibrated) - Polar binned error distributions (angle+distance)
# normal: param1=mu(0), param2=std, param3=mae; miss_detection constant: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
height,0.0,5.0,10.0,20.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,10.0,20.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,10.0,20.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,10.0,20.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,10.0,20.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,20.0,30.0,constant,1.000000,,
distal,0.0,5.0,20.0,30.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,20.0,30.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,20.0,30.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,20.0,30.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,20.0,30.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,20.0,30.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,20.0,30.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,30.0,40.0,constant,0.090909,,
distal,0.0,5.0,30.0,40.0,normal,0.000000,0.108994,0.074983
perpendicular,0.0,5.0,30.0,40.0,normal,0.000000,0.051888,0.041350
height,0.0,5.0,30.0,40.0,normal,0.000000,0.049053,0.049665
yaw,0.0,5.0,30.0,40.0,normal,0.000000,0.024099,0.021970
width,0.0,5.0,30.0,40.0,normal,0.000000,0.077654,0.069577
length,0.0,5.0,30.0,40.0,normal,0.000000,0.158479,0.114833
box_height,0.0,5.0,30.0,40.0,normal,0.000000,0.108925,0.071063
miss_detection,0.0,5.0,40.0,50.0,constant,0.181818,,
distal,0.0,5.0,40.0,50.0,normal,0.000000,0.233271,0.196303
perpendicular,0.0,5.0,40.0,50.0,normal,0.000000,0.180245,0.123057
height,0.0,5.0,40.0,50.0,normal,0.000000,0.060902,0.081968
yaw,0.0,5.0,40.0,50.0,normal,0.000000,0.022584,0.020404
width,0.0,5.0,40.0,50.0,normal,0.000000,0.076743,0.053149
length,0.0,5.0,40.0,50.0,normal,0.000000,0.120331,0.113337
box_height,0.0,5.0,40.0,50.0,normal,0.000000,0.087047,0.087003
miss_detection,0.0,5.0,50.0,60.0,constant,0.105263,,
distal,0.0,5.0,50.0,60.0,normal,0.000000,0.114089,0.087448
perpendicular,0.0,5.0,50.0,60.0,normal,0.000000,0.159538,0.117347
height,0.0,5.0,50.0,60.0,normal,0.000000,0.079109,0.084381
yaw,0.0,5.0,50.0,60.0,normal,0.000000,0.730994,0.212898
width,0.0,5.0,50.0,60.0,normal,0.000000,0.081043,0.071732
length,0.0,5.0,50.0,60.0,normal,0.000000,0.223085,0.188170
box_height,0.0,5.0,50.0,60.0,normal,0.000000,0.123946,0.121683
miss_detection,0.0,5.0,60.0,70.0,constant,0.050000,,
distal,0.0,5.0,60.0,70.0,normal,0.000000,0.089799,0.072947
perpendicular,0.0,5.0,60.0,70.0,normal,0.000000,0.138268,0.130308
height,0.0,5.0,60.0,70.0,normal,0.000000,0.144378,0.092104
yaw,0.0,5.0,60.0,70.0,normal,0.000000,0.698736,0.213534
width,0.0,5.0,60.0,70.0,normal,0.000000,0.092029,0.075462
length,0.0,5.0,60.0,70.0,normal,0.000000,0.257015,0.210156
box_height,0.0,5.0,60.0,70.0,normal,0.000000,0.203354,0.129133
miss_detection,0.0,5.0,70.0,80.0,constant,0.257143,,
distal,0.0,5.0,70.0,80.0,normal,0.000000,0.143900,0.115747
perpendicular,0.0,5.0,70.0,80.0,normal,0.000000,0.146113,0.140474
height,0.0,5.0,70.0,80.0,normal,0.000000,0.113985,0.090763
yaw,0.0,5.0,70.0,80.0,normal,0.000000,1.116416,0.522995
width,0.0,5.0,70.0,80.0,normal,0.000000,0.102513,0.073905
length,0.0,5.0,70.0,80.0,normal,0.000000,0.274200,0.205183
box_height,0.0,5.0,70.0,80.0,normal,0.000000,0.157802,0.097566
miss_detection,0.0,5.0,80.0,90.0,constant,0.500000,,
distal,0.0,5.0,80.0,90.0,normal,0.000000,0.208881,0.186878
perpendicular,0.0,5.0,80.0,90.0,normal,0.000000,0.110766,0.145271
height,0.0,5.0,80.0,90.0,normal,0.000000,0.117037,0.096393
yaw,0.0,5.0,80.0,90.0,normal,0.000000,1.850761,1.175369
width,0.0,5.0,80.0,90.0,normal,0.000000,0.064692,0.055097
length,0.0,5.0,80.0,90.0,normal,0.000000,0.229965,0.188238
box_height,0.0,5.0,80.0,90.0,normal,0.000000,0.215754,0.163452
miss_detection,0.0,5.0,90.0,100.0,constant,0.615385,,
distal,0.0,5.0,90.0,100.0,normal,0.000000,0.254302,0.240439
perpendicular,0.0,5.0,90.0,100.0,normal,0.000000,0.144322,0.443817
height,0.0,5.0,90.0,100.0,normal,0.000000,0.066510,0.070598
yaw,0.0,5.0,90.0,100.0,normal,0.000000,0.117448,0.120581
width,0.0,5.0,90.0,100.0,normal,0.000000,0.054095,0.100363
length,0.0,5.0,90.0,100.0,normal,0.000000,0.069629,0.422838
box_height,0.0,5.0,90.0,100.0,normal,0.000000,0.179939,0.306753
miss_detection,0.0,5.0,100.0,110.0,constant,1.000000,,
distal,0.0,5.0,100.0,110.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,100.0,110.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,100.0,110.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,100.0,110.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,100.0,110.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,100.0,110.0,normal,0.000000,0.252553,0.124147
