# CenterPoint fine-tuned 54m on V2V4Real (tesla) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
perpendicular,0.0,5.0,50.0,60.0,normal,0.0,0.078808,0.104554
height,0.0,5.0,50.0,60.0,normal,0.0,0.038149,0.042783
yaw,0.0,5.0,50.0,60.0,normal,0.0,0.023619,0.033546
width,0.0,5.0,50.0,60.0,normal,0.0,0.184213,0.265942
length,0.0,5.0,50.0,60.0,normal,0.0,0.083994,0.126459
box_height,0.0,5.0,50.0,60.0,normal,0.0,0.072506,0.077307
miss_detection,0.0,5.0,60.0,70.0,constant,0.0,,
distal,0.0,5.0,60.0,70.0,normal,0.0,0.069471,0.11557
perpendicular,0.0,5.0,60.0,70.0,normal,0.0,0.096048,0.102139
height,0.0,5.0,60.0,70.0,normal,0.0,0.037104,0.046228
yaw,0.0,5.0,60.0,70.0,normal,0.0,0.031431,0.035249
width,0.0,5.0,60.0,70.0,normal,0.0,0.21331,0.232274
length,0.0,5.0,60.0,70.0,normal,0.0,0.074303,0.114669
box_height,0.0,5.0,60.0,70.0,normal,0.0,0.060304,0.069083
miss_detection,0.0,5.0,70.0,80.0,constant,0.0,,
distal,0.0,5.0,70.0,80.0,normal,0.0,0.075586,0.093158
perpendicular,0.0,5.0,70.0,80.0,normal,0.0,0.12892,0.129333
height,0.0,5.0,70.0,80.0,normal,0.0,0.031606,0.048384
yaw,0.0,5.0,70.0,80.0,normal,0.0,0.029936,0.040812
width,0.0,5.0,70.0,80.0,normal,0.0,0.206025,0.280015
length,0.0,5.0,70.0,80.0,normal,0.0,0.086664,0.109256
box_height,0.0,5.0,70.0,80.0,normal,0.0,0.069524,0.079859
miss_detection,0.0,5.0,80.0,90.0,constant,0.0,,
distal,0.0,5.0,80.0,90.0,normal,0.0,0.0546,0.050671
perpendicular,0.0,5.0,80.0,90.0,normal,0.0,0.096048,0.098678
height,0.0,5.0,80.0,90.0,normal,0.0,0.031812,0.033389
yaw,0.0,5.0,80.0,90.0,normal,0.0,0.02527,0.020847
width,0.0,5.0,80.0,90.0,normal,0.0,0.085786,0.232742
length,0.0,5.0,80.0,90.0,normal,0.0,0.068022,0.082176
box_height,0.0,5.0,80.0,90.0,normal,0.0,0.046981,0.073967
miss_detection,0.0,5.0,90.0,100.0,constant,0.0,,
distal,0.0,5.0,90.0,100.0,normal,0.0,0.095591,0.113092
perpendicular,0.0,5.0,90.0,100.0,normal,0.0,0.091598,0.072919
height,0.0,5.0,90.0,100.0,normal,0.0,0.063388,0.056709
yaw,0.0,5.0,90.0,100.0,normal,0.0,0.019412,0.04037
width,0.0,5.0,90.0,100.0,normal,0.0,0.156379,0.184662
length,0.0,5.0,90.0,100.0,normal,0.0,0.219818,0.248787
box_height,0.0,5.0,90.0,100.0,normal,0.0,0.065607,0.110268
miss_detection,0.0,5.0,100.0,110.0,constant,0.010526,,
distal,0.0,5.0,100.0,110.0,normal,0.0,0.083897,0.105306
perpendicular,0.0,5.0,100.0,110.0,normal,0.0,0.184886,0.214454
height,0.0,5.0,100.0,110.0,normal,0.0,0.042919,0.040518
yaw,0.0,5.0,100.0,110.0,normal,0.0,0.028514,0.041089
width,0.0,5.0,100.0,110.0,normal,0.0,0.181046,0.304642
length,0.0,5.0,100.0,110.0,normal,0.0,0.203378,0.211372
box_height,0.0,5.0,100.0,110.0,normal,0.0,0.068318,0.083874
miss_detection,0.0,5.0,110.0,120.0,constant,0.0,,
distal,0.0,5.0,110.0,120.0,normal,0.0,0.109324,0.113993
perpendicular,0.0,5.0,110.0,120.0,normal,0.0,0.123635,0.147133
height,0.0,5.0,110.0,120.0,normal,0.0,0.046259,0.045457
yaw,0.0,5.0,110.0,120.0,normal,0.0,0.02176,0.033475
width,0.0,5.0,110.0,120.0,normal,0.0,0.263201,0.340246
length,0.0,5.0,110.0,120.0,normal,0.0,0.220417,0.170715
box_height,0.0,5.0,110.0,120.0,normal,0.0,0.097573,0.091617
miss_detection,0.0,5.0,120.0,130.0,constant,0.0,,
distal,0.0,5.0,120.0,130.0,normal,0.0,0.159667,0.16643
perpendicular,0.0,5.0,120.0,130.0,normal,0.0,0.135149,0.164607
height,0.0,5.0,120.0,130.0,normal,0.0,0.051338,0.052382
yaw,0.0,5.0,120.0,130.0,normal,0.0,0.026771,0.029918
width,0.0,5.0,120.0,130.0,normal,0.0,0.269068,0.347805
length,0.0,5.0,120.0,130.0,normal,0.0,0.191674,0.190838
box_height,0.0,5.0,120.0,130.0,normal,0.0,0.083787,0.090083
miss_detection,0.0,5.0,130.0,140.0,constant,0.0,,
distal,0.0,5.0,130.0,140.0,normal,0.0,0.155453,0.194847
perpendicular,0.0,5.0,130.0,140.0,normal,0.0,0.10709,0.113291
height,0.0,5.0,130.0,140.0,normal,0.0,0.042672,0.043878
yaw,0.0,5.0,130.0,140.0,normal,0.0,0.023918,0.035587
width,0.0,5.0,130.0,140.0,normal,0.0,0.378139,0.403568
length,0.0,5.0,130.0,140.0,normal,0.0,0.189758,0.200442
box_height,0.0,5.0,130.0,140.0,normal,0.0,0.067946,0.073097
miss_detection,0.0,5.0,140.0,150.0,constant,0.0,,
distal,0.0,5.0,140.0,150.0,normal,0.0,0.062696,0.099773
perpendicular,0.0,5.0,140.0,150.0,normal,0.0,0.047704,0.068412
height,0.0,5.0,140.0,150.0,normal,0.0,0.027595,0.032977
yaw,0.0,5.0,140.0,150.0,normal,0.0,0.022787,0.029655
width,0.0,5.0,140.0,150.0,normal,0.0,0.185375,0.28701
length,0.0,5.0,140.0,150.0,normal,0.0,0.044811,0.077545
box_height,0.0,5.0,140.0,150.0,normal,0.0,0.093428,0.118999
miss_detection,0.0,5.0,150.0,160.0,constant,1.0,,
miss_detection,0.0,5.0,160.0,170.0,constant,1.0,,
miss_detection,0.0,5.0,170.0,180.0,constant,1.0,,
miss_detection,5.0,10.0,-180.0,-170.0,constant,0.0,,
distal,5.0,10.0,-180.0,-170.0,normal,0.0,0.096866,0.14823
perpendicular,5.0,10.0,-180.0,-170.0,normal,0.0,0.028526,0.034643
height,5.0,10.0,-180.0,-170.0,normal,0.0,0.061208,0.093123
yaw,5.0,10.0,-180.0,-170.0,normal,0.0,0.028896,0.027743
width,5.0,10.0,-180.0,-170.0,normal,0.0,0.319303,0.292795
length,5.0,10.0,-180.0,-170.0,normal,0.0,0.085484,0.094726
box_height,5.0,10.0,-180.0,-170.0,normal,0.0,0.094945,0.125398
miss_detection,5.0,10.0,-170.0,-160.0,constant,0.0,,
distal,5.0,10.0,-170.0,-160.0,normal,0.0,0.047829,0.077127
perpendicular,5.0,10.0,-170.0,-160.0,normal,0.0,0.03646,0.036564
height,5.0,10.0,-170.0,-160.0,normal,0.0,0.068843,0.094218
yaw,5.0,10.0,-170.0,-160.0,normal,0.0,0.028209,0.038798
width,5.0,10.0,-170.0,-160.0,normal,0.0,0.309114,0.521162
length,5.0,10.0,-170.0,-160.0,normal,0.0,0.079707,0.126019
box_height,5.0,10.0,-170.0,-160.0,normal,0.0,0.092687,0.121039
miss_detection,5.0,10.0,-160.0,-150.0,constant,0.0,,
